YEAR,PLAYER_ID,PLAYER,TEAM_ID,TEAM,GP,FG_PCT,FG3_PCT,FT_PCT,EFF,AST_TOV,PPG,RPG,APG,SPG,BPG,TPG,is_all_nba,POSITION,season_start_year,WinPCT,Start_Year,TeamID
2010-11,201142,Kevin Durant,1610612760,OKC,78,0.462,0.35,0.88,1946,0.98,27.705128205128204,6.833333333333333,2.7435897435897436,1.1282051282051282,0.9743589743589743,2.7948717948717947,True,Forward,2010,0.671,2010,1610612760
2010-11,201566,Russell Westbrook,1610612760,OKC,82,0.442,0.33,0.842,1835,2.12,21.865853658536587,4.621951219512195,8.170731707317072,1.8902439024390243,0.36585365853658536,3.8536585365853657,True,Guard,2010,0.671,2010,1610612760
2010-11,201935,James Harden,1610612760,OKC,82,0.436,0.349,0.843,999,1.66,12.170731707317072,3.1097560975609757,2.1463414634146343,1.1219512195121952,0.2926829268292683,1.2926829268292683,False,Guard,2010,0.671,2010,1610612760
2010-11,201586,Serge Ibaka,1610612760,OKC,82,0.543,0.0,0.75,1282,0.31,9.853658536585366,7.585365853658536,0.2682926829268293,0.3780487804878049,2.4146341463414633,0.8658536585365854,False,Forward,2010,0.671,2010,1610612760
2010-11,1737,Nazr Mohammed,1610612760,OKC,75,0.522,0.0,0.598,683,0.33,7.133333333333334,4.906666666666666,0.30666666666666664,0.4,0.7466666666666667,0.9333333333333333,False,Center,2010,0.671,2010,1610612760
2010-11,101126,Nate Robinson,1610612760,OKC,59,0.399,0.325,0.818,333,1.63,6.796610169491525,1.5254237288135593,1.88135593220339,0.4915254237288136,0.06779661016949153,1.152542372881356,False,Guard,2010,0.671,2010,1610612760
2010-11,200757,Thabo Sefolosha,1610612760,OKC,79,0.471,0.275,0.747,742,2.02,5.075949367088608,4.379746835443038,1.4050632911392404,1.2278481012658229,0.4810126582278481,0.6962025316455697,False,Forward-Guard,2010,0.671,2010,1610612760
2010-11,201953,Eric Maynor,1610612760,OKC,82,0.402,0.385,0.729,456,3.09,4.2439024390243905,1.475609756097561,2.902439024390244,0.4268292682926829,0.07317073170731707,0.9390243902439024,False,Guard,2010,0.671,2010,1610612760
2010-11,2555,Nick Collison,1610612760,OKC,71,0.566,0.0,0.753,609,1.25,4.633802816901408,4.450704225352113,0.971830985915493,0.5915492957746479,0.43661971830985913,0.7746478873239436,False,Forward-Center,2010,0.671,2010,1610612760
2010-11,201161,Daequan Cook,1610612760,OKC,43,0.436,0.422,0.8,223,1.18,5.558139534883721,1.6744186046511629,0.46511627906976744,0.32558139534883723,0.023255813953488372,0.3953488372093023,False,Guard,2010,0.671,2010,1610612760
2010-11,2570,Kendrick Perkins,1610612760,OKC,29,0.515,0.0,0.556,316,0.46,6.0,8.0,0.896551724137931,0.3103448275862069,0.896551724137931,1.9310344827586208,False,Center,2010,0.671,2010,1610612760
2010-11,2767,Royal Ivey,1610612760,OKC,25,0.421,0.438,1.0,44,1.4,1.64,0.64,0.28,0.24,0.04,0.2,False,Guard,2010,0.671,2010,1610612760
2010-11,201957,Byron Mullens,1610612760,OKC,13,0.321,0.0,0.5,20,0.0,1.9230769230769231,1.8461538461538463,0.0,0.15384615384615385,0.23076923076923078,0.6153846153846154,False,Center,2010,0.671,2010,1610612760
2010-11,202332,Cole Aldrich,1610612760,OKC,18,0.533,0.0,0.5,52,0.5,1.0,1.9444444444444444,0.2222222222222222,0.2777777777777778,0.3888888888888889,0.4444444444444444,False,Center,2010,0.671,2010,1610612760
2010-11,2050,Morris Peterson,1610612760,OKC,4,0.4,0.0,0.0,5,0.0,1.0,0.75,0.25,0.0,0.0,0.0,False,Guard,2010,0.671,2010,1610612760
2010-11,2544,LeBron James,1610612748,MIA,79,0.51,0.33,0.759,2258,1.95,26.72151898734177,7.468354430379747,7.012658227848101,1.5696202531645569,0.6329113924050633,3.5949367088607596,True,Forward,2010,0.707,2010,1610612748
2010-11,2548,Dwyane Wade,1610612748,MIA,76,0.5,0.306,0.758,1883,1.46,25.539473684210527,6.381578947368421,4.552631578947368,1.4605263157894737,1.144736842105263,3.1184210526315788,True,Guard,2010,0.707,2010,1610612748
2010-11,2547,Chris Bosh,1610612748,MIA,77,0.496,0.24,0.815,1574,1.04,18.675324675324674,8.324675324675324,1.87012987012987,0.7662337662337663,0.6363636363636364,1.7922077922077921,False,Forward,2010,0.707,2010,1610612748
2010-11,1710,Mike Bibby,1610612748,MIA,80,0.431,0.44,0.629,755,2.62,8.6,2.4375,3.3125,0.625,0.1125,1.2625,False,Guard,2010,0.707,2010,1610612748
2010-11,2592,James Jones,1610612748,MIA,81,0.422,0.429,0.833,493,2.05,5.864197530864198,1.9753086419753085,0.5308641975308642,0.35802469135802467,0.2345679012345679,0.25925925925925924,False,Guard-Forward,2010,0.707,2010,1610612748
2010-11,201596,Mario Chalmers,1610612748,MIA,70,0.399,0.359,0.871,521,1.95,6.385714285714286,2.085714285714286,2.5285714285714285,1.0857142857142856,0.1,1.3,False,Guard,2010,0.707,2010,1610612748
2010-11,2067,Eddie House,1610612748,MIA,56,0.399,0.389,0.95,327,2.14,6.464285714285714,1.6428571428571428,1.1071428571428572,0.5714285714285714,0.05357142857142857,0.5178571428571429,False,Guard,2010,0.707,2010,1610612748
2010-11,980,Zydrunas Ilgauskas,1610612748,MIA,72,0.508,0.0,0.783,535,0.5,5.0,3.986111111111111,0.3611111111111111,0.3194444444444444,0.8055555555555556,0.7222222222222222,False,Center,2010,0.707,2010,1610612748
2010-11,2034,Mike Miller,1610612748,MIA,41,0.401,0.364,0.676,312,1.24,5.560975609756097,4.487804878048781,1.2439024390243902,0.4878048780487805,0.04878048780487805,1.0,False,Guard-Forward,2010,0.707,2010,1610612748
2010-11,201202,Joel Anthony,1610612748,MIA,75,0.535,0.0,0.644,438,0.67,2.04,3.546666666666667,0.32,0.13333333333333333,1.24,0.48,False,Center,2010,0.707,2010,1610612748
2010-11,436,Juwan Howard,1610612748,MIA,57,0.44,0.0,0.829,197,0.92,2.43859649122807,2.1403508771929824,0.40350877192982454,0.17543859649122806,0.07017543859649122,0.43859649122807015,False,Forward,2010,0.707,2010,1610612748
2010-11,956,Erick Dampier,1610612748,MIA,51,0.584,0.0,0.545,299,0.69,2.5098039215686274,3.4705882352941178,0.43137254901960786,0.27450980392156865,0.9215686274509803,0.6274509803921569,False,Center,2010,0.707,2010,1610612748
2010-11,2617,Udonis Haslem,1610612748,MIA,13,0.512,0.0,0.8,166,0.43,8.0,8.153846153846153,0.46153846153846156,0.5384615384615384,0.23076923076923078,1.0769230769230769,False,Forward,2010,0.707,2010,1610612748
2010-11,2048,Jamaal Magloire,1610612748,MIA,18,0.591,0.0,0.5,82,0.6,1.9444444444444444,3.388888888888889,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.2777777777777778,False,Center,2010,0.707,2010,1610612748
2010-11,711,Jerry Stackhouse,1610612748,MIA,7,0.25,0.25,0.714,11,1.5,1.7142857142857142,1.0,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,False,Forward,2010,0.707,2010,1610612748
2010-11,202354,Dexter Pittman,1610612748,MIA,2,0.333,0.0,0.0,1,0.0,1.0,1.5,0.0,0.0,0.0,1.0,False,Center,2010,0.707,2010,1610612748
2010-11,977,Kobe Bryant,1610612747,LAL,82,0.451,0.323,0.828,1754,1.6,25.341463414634145,5.109756097560975,4.7317073170731705,1.2073170731707317,0.14634146341463414,2.9634146341463414,True,Forward-Guard,2010,0.695,2010,1610612747
2010-11,2200,Pau Gasol,1610612747,LAL,82,0.529,0.333,0.823,2083,1.92,18.79268292682927,10.195121951219512,3.3292682926829267,0.5853658536585366,1.5853658536585367,1.7317073170731707,True,Center-Forward,2010,0.695,2010,1610612747
2010-11,1885,Lamar Odom,1610612747,LAL,82,0.53,0.382,0.675,1608,1.79,14.390243902439025,8.658536585365853,3.0365853658536586,0.573170731707317,0.7439024390243902,1.6951219512195121,False,Forward,2010,0.695,2010,1610612747
2010-11,200769,Shannon Brown,1610612747,LAL,82,0.425,0.349,0.911,594,1.28,8.682926829268293,1.9146341463414633,1.170731707317073,0.8170731707317073,0.1951219512195122,0.9146341463414634,False,Guard,2010,0.695,2010,1610612747
2010-11,1897,Metta World Peace,1610612747,LAL,82,0.397,0.356,0.676,768,1.94,8.5,3.2560975609756095,2.1341463414634148,1.5121951219512195,0.43902439024390244,1.0975609756097562,False,Forward,2010,0.695,2010,1610612747
2010-11,101115,Andrew Bynum,1610612747,LAL,54,0.574,0.0,0.66,997,0.99,11.333333333333334,9.407407407407407,1.3518518518518519,0.35185185185185186,1.962962962962963,1.3703703703703705,False,Center,2010,0.695,2010,1610612747
2010-11,965,Derek Fisher,1610612747,LAL,82,0.389,0.396,0.806,628,3.2,6.804878048780488,1.853658536585366,2.731707317073171,1.2073170731707317,0.0975609756097561,0.8536585365853658,False,Guard,2010,0.695,2010,1610612747
2010-11,2440,Matt Barnes,1610612747,LAL,53,0.47,0.318,0.779,493,1.22,6.716981132075472,4.30188679245283,1.3396226415094339,0.7358490566037735,0.41509433962264153,1.0943396226415094,False,Forward,2010,0.695,2010,1610612747
2010-11,2581,Steve Blake,1610612747,LAL,79,0.359,0.378,0.867,415,2.33,4.037974683544304,1.9746835443037976,2.151898734177215,0.5063291139240507,0.0379746835443038,0.9240506329113924,False,Guard,2010,0.695,2010,1610612747
2010-11,2575,Luke Walton,1610612747,LAL,54,0.328,0.235,0.7,121,2.0,1.6851851851851851,1.2407407407407407,1.1481481481481481,0.16666666666666666,0.07407407407407407,0.5740740740740741,False,Forward,2010,0.695,2010,1610612747
2010-11,202382,Derrick Caracter,1610612747,LAL,41,0.485,0.0,0.739,86,0.37,1.975609756097561,1.048780487804878,0.17073170731707318,0.0975609756097561,0.24390243902439024,0.4634146341463415,False,Forward,2010,0.695,2010,1610612747
2010-11,202365,Devin Ebanks,1610612747,LAL,20,0.412,0.4,0.783,59,0.33,3.1,1.35,0.1,0.2,0.25,0.3,False,Forward,2010,0.695,2010,1610612747
2010-11,201234,Trey Johnson,1610612747,LAL,8,0.364,0.333,0.9,27,2.2,4.25,0.875,1.375,0.125,0.125,0.625,False,Guard,2010,0.695,2010,1610612747
2010-11,693,Joe Smith,1610612747,LAL,16,0.188,0.0,1.0,19,0.8,0.5,1.3125,0.25,0.0,0.25,0.3125,False,Forward-Center,2010,0.695,2010,1610612747
2010-11,689,Theo Ratliff,1610612747,LAL,10,0.167,0.0,0.0,15,1.0,0.2,1.3,0.3,0.2,0.5,0.3,False,Center,2010,0.695,2010,1610612747
2010-11,201565,Derrick Rose,1610612741,CHI,81,0.445,0.332,0.858,1872,2.24,25.012345679012345,4.074074074074074,7.691358024691358,1.0493827160493827,0.6296296296296297,3.432098765432099,True,Guard,2010,0.756,2010,1610612741
